name;type_line;color;cost_total;atk;def;efficiency;stats;draw;move;discard;negate;sacrifice;destroy;deal_damage;must_attack;summon_from_grave;mana_discount;scry;reveal_summon;reveal_draw;ramp;recycle;gain_life;sap;pump;mill;summon_token;trigger;legendary_debuff;impulsive;discard_opp;condition_mult;grant_keyword_mult;draw_conditional;aggressive;draw_topdeck;deal_damage_target;stealth;discard_self;deal_damage_minion_or_player;deal_damage_all_enemies;deal_damage_all_minions;discard_self_hand;deal_damage_opponent;always_sapped;protector
Miautz, Criminal Mastermind;Minion;black;3.0;0.0;4.0;0.2718674221302922;-0.291;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;;;;;0.75;;;;;;;;;;;;
Mitril, the Forgotten;Minion;black;3.0;2.0;1.0;0.10164781004577583;-1.192;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;;;;;;;;;;;;;;;;;
Mysterious Shade;Minion;black;2.0;3.0;2.0;0.03764107683559487;0.313;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Otherworldly Slash;Spell;black;7.0;;;0.225;0.0;0.0;0.0;0.0;0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Patient Maiden;Minion;black;6.0;3.0;4.0;-0.46048824606819844;-3.223;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Rau, the Eternal;Minion;black;7.0;6.0;6.0;0.1577881199609491;-0.822;0.0;2.4;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Relentless Hunter;Minion;black;3.0;4.0;3.0;0.03779142642157795;0.324;0.0;-0.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.22;;;;;;;;;;;;;;;;
Restricted;Minion;black;6.0;0.0;6.0;-0.20824395163510895;-1.458;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Rising Mist;Spell;black;3.0;;;0.2375;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.75;;;;;;;;;;;;
Rot Away;Spell;black;7.0;;;0.225;0.0;0.0;0.0;0.0;0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Shining Drifter;Minion;black;1.0;0.0;2.0;0.25;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Stack the Deck;Spell;black;1.0;;;0.6000000000000001;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Temptation of the Night;Spell;black;2.0;;;0.4749999999999999;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Thing in the Ice;Minion;black;2.0;1.0;1.0;-0.04070626679683629;-0.822;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.5;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;;
Trivikrama, Gran Conqueror;Minion;black;2.0;2.0;2.0;0.6840089090458933;0.0;0.0;0.0;0.0;0;0.0;1.6;0.0;0.0;0.0;0.0;0.538;0.5;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.8;;;;;;1.2;;;;;;;;;;;
Valdris, Undying Giant;Minion;black;10.0;8.0;8.0;-0.20585764696280637;-2.32;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.22;;;;;;;;;;;;;;;;
Vanish;Spell;black;2.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Vindictive Spirit;Minion;black;1.0;0.0;2.0;0.17328679513998632;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.347;;;;;;;;;;
Wrathful Vassal;Minion;black;4.0;4.0;4.0;0.09759999999999999;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;;1.22;;;;;;;;;;;;;;;;
Ziggurat;Territory;black;0.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Abominable Barrier;Spell;blue;1.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Ancient Cloud;Spell;blue;1.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Back Alley Assassin;Minion;blue;2.0;2.0;2.0;0.06666666666666667;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;;
Burn the Heretics;Spell;blue;3.0;;;0.6042367587674604;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;2.417;;;;
Burning Knowledge;Spell;blue;4.0;;;0.20999999999999996;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;2.1;;;;;;;;;
Crimson Hunter;Minion;blue;3.0;1.0;2.0;-0.2729402374427802;-1.192;0.0;0.0;;0;0.0;0.0;0.0;-0.3;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;1.2;0.0;0.0;0.7;;;;;;;;;;;-1.5;;;;;;;
Cruel Ritual;Spell;blue;4.0;;;0.3069722457733622;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Deadly Poison;Spell;blue;3.0;;;0.5499999999999999;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;2.7;;;;;;
Disgraced Disciple;Minion;blue;1.0;1.0;2.0;0.21214397815262342;0.286;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.139;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Disgraceful Spark;Spell;blue;1.0;;;1.309.861.228.866.810;0.0;1.5;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;0.9;;;;;;
Dracul's Follower;Minion;blue;3.0;3.0;2.0;-0.42823080762669624;-0.313;2.85;0.0;;0;0.0;-1.0;0.0;-0.3;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.55;;;;;;;;;;;;;;;-3.5;;;
Edwin, Legendary Thief;Minion;blue;4.0;3.0;4.0;0.3247527359261909;-0.324;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.35;0.8;;;;;;;;;1.33;;;;;;;;
Enchanted Grove;Spell;blue;4.0;;;0.6699999999999999;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Endless Research;Spell;blue;1.0;;;-0.11249999999999938;0.0;2.85;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-3.075;;;;;;;
Experiment #1;Minion;blue;1.0;1.0;1.0;-0.75;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #2;Minion;blue;2.0;1.0;2.0;-0.5952195067310859;-0.286;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #3;Minion;blue;3.0;1.0;3.0;-0.5203314446742696;-0.581;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #4;Minion;blue;4.0;1.0;4.0;0.20537318755504455;-0.923;2.85;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Faithless Saint;Minion;blue;4.0;3.0;3.0;0.20278811996094906;-0.822;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Faust, Crazed Creator;Minion;blue;5.0;1.0;1.0;-0.8427811656769921;-10.023;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;0.9;;;;;;;;;;;;;;
Forced Conversion;Spell;blue;4.0;;;0.32;0.0;0.0;0.0;0.0;0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Francus, Pope of Demise;Minion;blue;2.0;1.0;1.0;-0.1658983467708024;-0.822;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Fried, Lightning Blade;Minion;blue;6.0;6.0;6.0;0.42525714285714283;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;1.22;;;;;;;;;;;;;;;;
Friendly Fire;Quest;blue;1.0;;;0.0;0.0;1.5;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;-1.5;;;;;;;
Grinning Merchant;Minion;blue;1.0;1.0;1.0;0.0;0.0;1.5;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Highwayman;Minion;blue;3.0;5.0;5.0;2,19E+11;2.32;0.0;0.0;0.0;0;-2.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.75;;;;;;;;;;;;;;
Lightning Bolt in a Bottle;Spell;blue;1.0;;;0.8399999999999999;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;2.1;;;;;;;;;
Lucard, Lord of Bats;Minion;blue;5.0;3.0;3.0;-0.28268225636487293;-2.32;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;;;;;;;;;;;;;;;;;
Magical Convergence;Spell;blue;7.0;;;10.215.888.308.335.900;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.416;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;9.8;;;;;;;;;
Mana Spirit;Minion;blue;6.0;4.0;6.0;-0.07647505847164335;-0.735;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;;
Mass Hysteria;Spell;blue;7.0;;;0.4;0.0;0.0;0.0;0.0;0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Mysterious Potion;Spell;blue;1.0;;;0.5693147180559945;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.139;0.0;-0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Nikola, Disgraced Genius;Minion;blue;4.0;3.0;3.0;0.1724609919375186;-0.822;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;;;;;;;;;;;;;;;;;
Pray for Demise;Spell;blue;3.0;;;0.425;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Red Sage;Minion;blue;3.0;1.0;3.0;-0.5904008302408641;-0.581;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.22;0.0;-0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Request Tribute;Spell;blue;3.0;;;0.05;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Ronald, Dark Clown;Minion;blue;1.0;1.0;1.0;-0.12000000000000005;0.0;0.0;0.0;;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.8;;;;;;;;;;-1.5;0.9;;;;;;
Rune of Power;Spell;blue;2.0;;;-0.5;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Sadu, False Prophet;Minion;blue;3.0;3.0;1.0;0.023734844260584288;-0.581;0.0;0.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Siren Song;Spell;blue;3.0;;;0.3;0.0;0.0;1.2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Stoic Runehart;Minion;blue;4.0;3.0;3.0;-0.04124609841090834;-0.822;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.416;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;;
Submit to Will;Spell;blue;5.0;;;0.06666666666666667;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Temple;Territory;blue;0.0;;;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Tiwaz, Runic Titan;Minion;blue;10.0;8.0;8.0;0.08580967834643292;-2.32;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Trespass;Spell;blue;2.0;;;0.4499999999999999;0.0;2.85;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Troublesome Companion;Minion;blue;2.0;2.0;3.0;0.22739596552467448;0.313;1.5;0.0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;1.33;-1.5;;;;;;;
Unnatural Disaster;Spell;blue;1.0;;;0.7208730677823432;0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;1.802;;;;;
Vampirism;Spell;blue;1.0;;;0.75;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
