name;type_line;color;cost_total;atk;def;efficiency;stats;spell_card_cost;draw;move;discard;negate;sacrifice;destroy;deal_damage;must_attack;summon_from_grave;attach;mana_discount;scry;reveal_summon;reveal_draw;ramp;recycle;gain_life;sap;pump;mill;summon_token;trigger;change_attack;activated_cost;legendary_debuff;impulsive;discard_opp;condition_mult;grant_keyword_mult;draw_conditional;aggressive;draw_topdeck;deal_damage_target;stealth;discard_self;deal_damage_minion_or_player;deal_damage_all_enemies;deal_damage_all_minions;discard_self_hand;deal_damage_opponent;always_sapped;protector
Deadly Poison;Spell;blue;3.0;;;0.5499999999999999;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;2.7;;;;;;
Disgraced Disciple;Minion;blue;1.0;1.0;2.0;0.24424412184399613;0.35;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Disgraceful Spark;Spell;blue;1.0;;;1.309861228866811;0.0;-0.0;1.5;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;0.9;;;;;;
Dracul's Follower;Minion;blue;3.0;3.0;2.0;-0.3124647018940009;-0.35;0.0;2.85;0.0;;0;0.0;-1.0;0.0;-0.3;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.55;0.0;0.0;;;;;;;;;;;;;;;-3.0;;;
Edwin, Legendary Thief;Minion;blue;4.0;3.0;4.0;0.3192300457478266;-0.35;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.8;;;;;;;;;1.33;;;;;;;;
Enchanted Grove;Spell;blue;4.0;;;0.6699999999999999;0.0;-0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0;0.0;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Endless Research;Spell;blue;1.0;;;-0.11249999999999938;0.0;-0.0;2.85;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-3.075;;;;;;;
Experiment #1;Minion;blue;1.0;1.0;1.0;-0.75;0.0;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #2;Minion;blue;2.0;1.0;2.0;-0.6166196025253344;-0.35;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #3;Minion;blue;3.0;1.0;3.0;-0.5805297000976273;-0.822;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Experiment #4;Minion;blue;4.0;1.0;4.0;0.09807937776861005;-1.46;0.0;2.85;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Faithless Saint;Minion;blue;4.0;3.0;3.0;0.20278811996094906;-0.822;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.5;;;;;;;;;;;;;;
Faust, Crazed Creator;Minion;blue;5.0;1.0;1.0;-0.8427811656769921;-10.023;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;0.9;;;;;;;;;;;;;;
Forced Conversion;Spell;blue;4.0;;;0.32;0.0;-0.0;0.0;0.0;0.0;0;0.0;1.6;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Francus, Pope of Demise;Minion;blue;2.0;1.0;1.0;-0.1658983467708024;-0.822;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Fried, Lightning Blade;Minion;blue;6.0;6.0;6.0;0.42525714285714283;0.0;0.0;2.85;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.8;1.22;;;;;;;;;;;;;;;;
Friendly Fire;Quest;blue;1.0;;;0.0;0.0;0.0;1.5;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;-1.5;;;;;;;
Grinning Merchant;Minion;blue;1.0;1.0;1.0;0.0;0.0;0.0;1.5;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Highwayman;Minion;blue;3.0;5.0;5.0;2.1923013102637112e-05;2.32;0.0;0.0;0.0;0.0;0;-2.32;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.75;;;;;;;;;;;;;;
Lightning Bolt in a Bottle;Spell;blue;1.0;;;0.8399999999999999;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;2.1;;;;;;;;;
Lucard, Lord of Bats;Minion;blue;5.0;3.0;3.0;-0.28268225636487293;-2.32;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Magical Convergence;Spell;blue;7.0;;;1.0215888308335968;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;9.8;;;;;;;;;
Mana Spirit;Minion;blue;6.0;4.0;6.0;-0.08887411434150128;-0.822;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;;;;;;;;;;;;;;;;;;
Mass Hysteria;Spell;blue;7.0;;;0.4;0.0;-0.0;0.0;0.0;0.0;0;0.0;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Mysterious Potion;Spell;blue;1.0;;;0.5693147180559945;0.0;-0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.139;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Nikola, Disgraced Genius;Minion;blue;4.0;3.0;3.0;0.1724609919375186;-0.822;0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.8;;;;;;;;;;;;;;;;;
Pray for Demise;Spell;blue;3.0;;;0.425;0.0;-0.0;1.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Red Sage;Minion;blue;3.0;1.0;3.0;-0.6505990856642218;-0.822;0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.22;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
Request Tribute;Spell;blue;3.0;;;0.05;0.0;-0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;
Ronald, Dark Clown;Minion;blue;1.0;1.0;1.0;-0.12000000000000005;0.0;0.0;0.0;0.0;;0;0.0;0.0;;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.8;;;;;;;;;;-1.5;0.9;;;;;;
Rune of Power;Spell;blue;2.0;;;-0.5;0.0;-0.0;0.0;0.0;;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;-1.5;;;;;;;
